sample_id	DNA_kit	kit_code	replicate	matrix_type	kit_source_label	qPCR_species_label	taxon	taxonomic_rank	qPCR_value	qPCR_total	qPCR_relative_abundance	expected_abundance	qPCR_bias	qPCR_relative_deviation_pct
1Z	Zymo	Z	1	mock_only	ZymoB Kit	T.interdigitale	Trichophyton_interdigitale	Species	0.000206725	0.020262112999999998	0.010202539093528893	0.1	-0.08979746090647112	-89.79746090647112
1Z	Zymo	Z	1	mock_only	ZymoB Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.00294	0.020262112999999998	0.14509839126847235	0.1	0.04509839126847234	45.09839126847234
1Z	Zymo	Z	1	mock_only	ZymoB Kit	M.globosa	Malassezia_globosa	Species	0.000149248	0.020262112999999998	0.007365865544230259	0.1	-0.09263413445576975	-92.63413445576974
2Z	Zymo	Z	2	mock_only	ZymoB Kit	C.albicans	Candida_albicans	Species	0.0037994	0.019170784	0.1981869912049502	0.1	0.0981869912049502	98.18699120495019
2Z	Zymo	Z	2	mock_only	ZymoB Kit	C.neoformans	Cryptococcus_neoformans	Species	0.005083	0.019170784	0.26514304266325256	0.1	0.16514304266325255	165.14304266325254
2Z	Zymo	Z	2	mock_only	ZymoB Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0008443	0.019170784	0.04404097401546019	0.1	-0.05595902598453981	-55.959025984539814
2Z	Zymo	Z	2	mock_only	ZymoB Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.002541683	0.019170784	0.13258106710711465	0.1	0.03258106710711464	32.58106710711464
2Z	Zymo	Z	2	mock_only	ZymoB Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.001381	0.019170784	0.07203669917724805	0.1	-0.02796330082275196	-27.963300822751957
2Z	Zymo	Z	2	mock_only	ZymoB Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.002259157	0.019170784	0.11784374598347151	0.1	0.017843745983471507	17.843745983471507
2Z	Zymo	Z	2	mock_only	ZymoB Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	0.000150286	0.019170784	0.007839324672376465	0.1	-0.09216067532762354	-92.16067532762354
2Z	Zymo	Z	2	mock_only	ZymoB Kit	T.interdigitale	Trichophyton_interdigitale	Species	0.000274672	0.019170784	0.014327635218257116	0.1	-0.0856723647817429	-85.6723647817429
2Z	Zymo	Z	2	mock_only	ZymoB Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.002687	0.019170784	0.14016119528549276	0.1	0.04016119528549275	40.16119528549275
2Z	Zymo	Z	2	mock_only	ZymoB Kit	M.globosa	Malassezia_globosa	Species	0.000150286	0.019170784	0.007839324672376465	0.1	-0.09216067532762354	-92.16067532762354
3Z	Zymo	Z	3	mock_only	ZymoB Kit	C.albicans	Candida_albicans	Species	0.0029399	0.023262805	0.1263777089650195	0.1	0.02637770896501948	26.37770896501948
3Z	Zymo	Z	3	mock_only	ZymoB Kit	C.neoformans	Cryptococcus_neoformans	Species	0.006087	0.023262805	0.26166234037554803	0.1	0.16166234037554802	161.662340375548
3Z	Zymo	Z	3	mock_only	ZymoB Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0012797	0.023262805	0.05501056299960387	0.1	-0.044989437000396135	-44.98943700039613
3Z	Zymo	Z	3	mock_only	ZymoB Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.001760255	0.023262805	0.07566821799864634	0.1	-0.024331782001353663	-24.331782001353663
3Z	Zymo	Z	3	mock_only	ZymoB Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.00286	0.023262805	0.12294304147758621	0.1	0.022943041477586204	22.943041477586203
3Z	Zymo	Z	3	mock_only	ZymoB Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.004215735	0.023262805	0.18122212691031886	0.1	0.08122212691031885	81.22212691031885
3Z	Zymo	Z	3	mock_only	ZymoB Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	0.000354974	0.023262805	0.015259294827085554	0.1	-0.08474070517291445	-84.74070517291445
