DNA_kit	taxon	n	mean_abundance	sd_abundance	se_abundance	expected_abundance	bias	relative_deviation_pct	measurement
DNeasy	Cryptococcus_neoformans	4	0.14732514452487105	0.00352906327951083	0.001764531639755415	0.1	0.04732514452487105	47.32514452487105	NGS Cutadapt_SE
DNeasy	Trichophyton_interdigitale	4	0.004617720472366077	5.888569709589153e-4	2.9442848547945764e-4	0.1	-0.09538227952763392	-95.38227952763391	NGS Cutadapt_SE
DNeasy	Penicillium_chrysogenum	4	0.12475316370418679	0.012426423919666448	0.006213211959833224	0.1	0.024753163704186787	24.753163704186786	NGS Cutadapt_SE
DNeasy	Fusarium_keratoplasticum	4	0.0019083081468615854	2.9208137449862327e-4	1.4604068724931164e-4	0.1	-0.09809169185313842	-98.09169185313841	NGS Cutadapt_SE
DNeasy	Candida_albicans	4	0.2997253865720377	0.0078239839162031425	0.003911991958101571	0.1	0.19972538657203767	199.72538657203768	NGS Cutadapt_SE
DNeasy	Nakaseomyces_glabratus	4	0.10877052278337164	0.0029625923295309234	0.0014812961647654617	0.1	0.008770522783371634	8.770522783371634	NGS Cutadapt_SE
DNeasy	Malassezia_globosa	4	4.018226676203258e-6	8.036453352406516e-6	4.018226676203258e-6	0.1	-0.0999959817733238	-99.9959817733238	NGS Cutadapt_SE
DNeasy	Saccharomyces_cerevisiae	4	0.06173498334518165	0.0038375059119011585	0.0019187529559505792	0.1	-0.03826501665481836	-38.26501665481835	NGS Cutadapt_SE
DNeasy	Cutaneotrichosporon_dermatis	4	0.21931634014435986	0.012349189230316963	0.006174594615158482	0.1	0.11931634014435985	119.31634014435983	NGS Cutadapt_SE
QIAamp	Aspergillus_fumigatus	4	0.033361085512478926	0.0013151131993919764	6.575565996959882e-4	0.1	-0.06663891448752107	-66.63891448752108	NGS Cutadapt_SE
QIAamp	Cryptococcus_neoformans	4	0.15916717703084238	0.0071259120993245805	0.0035629560496622903	0.1	0.05916717703084237	59.16717703084237	NGS Cutadapt_SE
QIAamp	Trichophyton_interdigitale	4	0.005708819507605844	8.280005156123851e-4	4.1400025780619255e-4	0.1	-0.09429118049239416	-94.29118049239416	NGS Cutadapt_SE
QIAamp	Penicillium_chrysogenum	4	0.12990045138009754	0.0023533053893611045	0.0011766526946805523	0.1	0.02990045138009753	29.900451380097532	NGS Cutadapt_SE
QIAamp	Fusarium_keratoplasticum	4	0.002027589235057023	2.485847613975333e-4	1.2429238069876664e-4	0.1	-0.09797241076494298	-97.97241076494298	NGS Cutadapt_SE
QIAamp	Candida_albicans	4	0.2903409695635403	0.009617541880213045	0.0048087709401065225	0.1	0.19034096956354027	190.34096956354026	NGS Cutadapt_SE
QIAamp	Nakaseomyces_glabratus	4	0.11158973657392471	0.003627284242568106	0.001813642121284053	0.1	0.011589736573924703	11.589736573924704	NGS Cutadapt_SE
QIAamp	Malassezia_globosa	4	1.2572800994933217e-5	1.5612581753200475e-5	7.806290876600238e-6	0.1	-0.09998742719900507	-99.98742719900507	NGS Cutadapt_SE
QIAamp	Saccharomyces_cerevisiae	4	0.04268562719083243	0.003031405141071532	0.001515702570535766	0.1	-0.057314372809167576	-57.314372809167565	NGS Cutadapt_SE
QIAamp	Cutaneotrichosporon_dermatis	4	0.22520597120462593	0.012996403434292295	0.0064982017171461475	0.1	0.12520597120462593	125.20597120462591	NGS Cutadapt_SE
Zymo	Aspergillus_fumigatus	4	0.03013188021782711	0.0034444518811212986	0.0017222259405606493	0.1	-0.06986811978217289	-69.86811978217288	NGS Cutadapt_SE
Zymo	Cryptococcus_neoformans	4	0.14893775224797762	0.006729505331905786	0.003364752665952893	0.1	0.04893775224797761	48.93775224797761	NGS Cutadapt_SE
Zymo	Trichophyton_interdigitale	4	0.004271251779780082	7.457466131911021e-4	3.7287330659555105e-4	0.1	-0.09572874822021993	-95.72874822021993	NGS Cutadapt_SE
Zymo	Penicillium_chrysogenum	4	0.13311685605954346	0.009045851317743658	0.004522925658871829	0.1	0.033116856059543454	33.11685605954345	NGS Cutadapt_SE
Zymo	Fusarium_keratoplasticum	4	0.001714662261787772	2.580720091974327e-4	1.2903600459871636e-4	0.1	-0.09828533773821223	-98.28533773821222	NGS Cutadapt_SE
Zymo	Candida_albicans	4	0.30165524470017047	0.010263604056583895	0.005131802028291947	0.1	0.20165524470017046	201.65524470017044	NGS Cutadapt_SE
