Method	DNA_kit	taxon	NGS_mean	NGS_sd	NGS_bias	NGS_relative_deviation_pct	qPCR_mean	qPCR_sd	qPCR_bias	qPCR_relative_deviation_pct	mean_difference_NGS_minus_qPCR	absolute_mean_difference
Cutadapt_PE	QIAamp	Nakaseomyces_glabratus	0.11457324146371786	0.003937856024362096	0.014573241463717856	14.573241463717856	0.09911148672916134	0.03477870137031977	-8.885132708386645e-4	-0.8885132708386645	0.015461754734556521	0.015461754734556521
Cutadapt_PE	QIAamp	Malassezia_globosa	1.35127873026086e-5	1.6779582431172332e-5	-0.0999864872126974	-99.9864872126974	0.00538716798162973	0.002142118450704732	-0.09461283201837027	-94.61283201837027	-0.005373655194327121	0.005373655194327121
Cutadapt_PE	QIAamp	Saccharomyces_cerevisiae	0.04316793294490204	0.003192124764015469	-0.05683206705509797	-56.832067055097966	0.028303129539003748	0.011499280332202842	-0.07169687046099626	-71.69687046099627	0.01486480340589829	0.01486480340589829
Cutadapt_PE	QIAamp	Cutaneotrichosporon_dermatis	0.23100389580422587	0.013528505949705685	0.13100389580422586	131.00389580422583	0.06757363575884463	0.03501722083393325	-0.03242636424115537	-32.42636424115537	0.16343026004538125	0.16343026004538125
Cutadapt_PE	Zymo	Aspergillus_fumigatus	0.02908440895203283	0.0035048552321572985	-0.07091559104796717	-70.91559104796717	0.1395183832739813	0.005603149441530646	0.0395183832739813	39.5183832739813	-0.11043397432194847	0.11043397432194847
Cutadapt_PE	Zymo	Cryptococcus_neoformans	0.14548841866561155	0.007169704884422902	0.04548841866561154	45.48841866561154	0.2565487117310369	0.01621195896936413	0.15654871173103688	156.54871173103686	-0.11106029306542534	0.11106029306542534
Cutadapt_PE	Zymo	Trichophyton_interdigitale	0.00445660866800079	8.385156082730134e-4	-0.09554339133199921	-95.5433913319992	0.012875284239772525	0.0021352565282213554	-0.08712471576022748	-87.12471576022747	-0.008418675571771735	0.008418675571771735
Cutadapt_PE	Zymo	Penicillium_chrysogenum	0.1264137014583076	0.008891648730431677	0.026413701458307598	26.4137014583076	0.13534603605129017	0.030655390523029027	0.035346036051290164	35.34603605129016	-0.008932334592982566	0.008932334592982566
Cutadapt_PE	Zymo	Fusarium_keratoplasticum	0.001784104860368834	3.160695362380708e-4	-0.09821589513963117	-98.21589513963116	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258	-0.007561540734468584	0.007561540734468584
Cutadapt_PE	Zymo	Candida_albicans	0.30359278931204725	0.010751818818319388	0.20359278931204725	203.59278931204722	0.16714457848631792	0.030171873548877803	0.06714457848631791	67.14457848631791	0.13644821082572933	0.13644821082572933
Cutadapt_PE	Zymo	Nakaseomyces_glabratus	0.09731134268009772	0.005016700226137986	-0.0026886573199022823	-2.6886573199022825	0.11653670306763492	0.02730963167952455	0.01653670306763491	16.53670306763491	-0.019225360387537194	0.019225360387537194
Cutadapt_PE	Zymo	Malassezia_globosa	7.723004181209006e-5	4.763156660022964e-5	-0.09992276995818791	-99.92276995818791	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258	-0.009268415553025329	0.009268415553025329
Cutadapt_PE	Zymo	Saccharomyces_cerevisiae	0.052879523301984574	0.005168750764307632	-0.04712047669801543	-47.12047669801543	0.04495706576028813	0.006944080621693184	-0.05504293423971188	-55.04293423971187	0.007922457541696445	0.007922457541696445
Cutadapt_PE	Zymo	Cutaneotrichosporon_dermatis	0.2389118720597368	0.0241269501639925	0.1389118720597368	138.9118720597368	0.10838194620000324	0.02495903601579078	0.008381946200003237	8.381946200003238	0.13052992585973355	0.13052992585973355
