feature_id	taxonomy_method	Genus	Species	taxon_string	run_id	preprocess_method	read_strategy	Paired	Trimm	Genus_original	Species_original
ba931772211836a80a6f9001b2507e01	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
a536855c690075a22d2f70db5665151c	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
b2d71c8a1835967453bd96a5aecac0d2	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
fe389004a774f698876b52bcd5148b90	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
56a66d4f4883495fe6e8252edcc6c71c	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
ec20b845c0c4bc5fe101632d172a6d2a	UNITE+BLAST	Cryptococcus	Cryptococcus_neoformans	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Cryptococcus	Cryptococcus_neoformans
a0a05fb837d128e0f13ab3295773109e	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
158508c453d93903d315196a844918ef	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
6b364ee32451dd49784a71f534ef2bae	UNITE+BLAST	Aspergillaceae_f	Aspergillaceae_f	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Aspergillaceae_f	Aspergillaceae_f
fb16acc3ac783ab7d6101776190a58e0	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
e964994d6f202441af10c435acc7d999	UNITE+BLAST	Nakaseomyces	Nakaseomyces_glabratus	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Nakaseomyces	Nakaseomyces_glabratus
5535856acc809af76ab3ddb22e9e211d	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
9787c7e873499f9e560ca6b6422ce0e8	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
1b7d4ee38520a8d71abb44031eecc577	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
22b75b5c2a1c978878bc54274f7dffa6	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
5f75d4aac0231ac26b212754cfe7bc3e	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
6a84d445d0bc5b70a398f6fdf01eb66f	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
299858db667f2d7fa90d17f8f1e54be0	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
161c64a00b60cab9cd570cec0be8db0a	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
708ed5611c17651ff5806fa18df950fa	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
36a7dafd8a4806c2f7c373b5c9916b22	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
3039df4ad5007ae4944976c043d3d432	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
a56894c6c241a00138a745e9bf67a443	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
