Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ST2Q_1	(18.0, 2.0)	(19.0, 4.0)	(20.0, 18.0)	(21.0, 11.0)	(22.0, 12.0)	(23.0, 19.0)	(24.0, 34.0)	(25.0, 51.0)	(26.0, 77.0)	(27.0, 84.0)	(28.0, 96.0)	(29.0, 97.0)	(30.0, 134.0)	(31.0, 162.0)	(32.0, 224.0)	(33.0, 330.0)	(34.0, 587.0)	(35.0, 2729.0)	(36.0, 4192.0)	(37.0, 36012.0)	(38.0, 80373.0)			
ST2Q_2	(15.0, 1.0)	(16.0, 0.0)	(17.0, 7.0)	(18.0, 16.0)	(19.0, 79.0)	(20.0, 104.0)	(21.0, 93.0)	(22.0, 91.0)	(23.0, 90.0)	(24.0, 79.0)	(25.0, 85.0)	(26.0, 86.0)	(27.0, 95.0)	(28.0, 117.0)	(29.0, 141.0)	(30.0, 166.0)	(31.0, 179.0)	(32.0, 262.0)	(33.0, 331.0)	(34.0, 494.0)	(35.0, 854.0)	(36.0, 2014.0)	(37.0, 42405.0)	(38.0, 77459.0)
ST2Z_1	(18.0, 3.0)	(19.0, 9.0)	(20.0, 12.0)	(21.0, 14.0)	(22.0, 10.0)	(23.0, 23.0)	(24.0, 27.0)	(25.0, 54.0)	(26.0, 72.0)	(27.0, 69.0)	(28.0, 89.0)	(29.0, 103.0)	(30.0, 126.0)	(31.0, 155.0)	(32.0, 248.0)	(33.0, 340.0)	(34.0, 541.0)	(35.0, 1018.0)	(36.0, 3502.0)	(37.0, 37266.0)	(38.0, 82444.0)			
ST2Z_2	(16.0, 1.0)	(17.0, 6.0)	(18.0, 18.0)	(19.0, 80.0)	(20.0, 117.0)	(21.0, 98.0)	(22.0, 106.0)	(23.0, 102.0)	(24.0, 94.0)	(25.0, 99.0)	(26.0, 106.0)	(27.0, 115.0)	(28.0, 114.0)	(29.0, 122.0)	(30.0, 175.0)	(31.0, 202.0)	(32.0, 257.0)	(33.0, 390.0)	(34.0, 544.0)	(35.0, 945.0)	(36.0, 2142.0)	(37.0, 42309.0)	(38.0, 77983.0)	
ST3D_1	(17.0, 1.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 18.0)	(21.0, 18.0)	(22.0, 11.0)	(23.0, 22.0)	(24.0, 40.0)	(25.0, 52.0)	(26.0, 82.0)	(27.0, 92.0)	(28.0, 113.0)	(29.0, 117.0)	(30.0, 157.0)	(31.0, 177.0)	(32.0, 280.0)	(33.0, 385.0)	(34.0, 579.0)	(35.0, 1101.0)	(36.0, 5337.0)	(37.0, 44851.0)	(38.0, 95677.0)		
ST3D_2	(16.0, 1.0)	(17.0, 3.0)	(18.0, 23.0)	(19.0, 79.0)	(20.0, 131.0)	(21.0, 109.0)	(22.0, 96.0)	(23.0, 89.0)	(24.0, 112.0)	(25.0, 101.0)	(26.0, 89.0)	(27.0, 108.0)	(28.0, 128.0)	(29.0, 135.0)	(30.0, 155.0)	(31.0, 197.0)	(32.0, 258.0)	(33.0, 364.0)	(34.0, 527.0)	(35.0, 989.0)	(36.0, 2267.0)	(37.0, 51077.0)	(38.0, 92083.0)	
ST3Q_1	(17.0, 1.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 6.0)	(21.0, 9.0)	(22.0, 14.0)	(23.0, 14.0)	(24.0, 23.0)	(25.0, 31.0)	(26.0, 62.0)	(27.0, 73.0)	(28.0, 91.0)	(29.0, 124.0)	(30.0, 134.0)	(31.0, 184.0)	(32.0, 261.0)	(33.0, 379.0)	(34.0, 594.0)	(35.0, 4324.0)	(36.0, 2751.0)	(37.0, 38210.0)	(38.0, 86624.0)		
ST3Q_2	(16.0, 1.0)	(17.0, 8.0)	(18.0, 31.0)	(19.0, 94.0)	(20.0, 138.0)	(21.0, 102.0)	(22.0, 130.0)	(23.0, 99.0)	(24.0, 129.0)	(25.0, 120.0)	(26.0, 120.0)	(27.0, 165.0)	(28.0, 136.0)	(29.0, 202.0)	(30.0, 226.0)	(31.0, 254.0)	(32.0, 380.0)	(33.0, 472.0)	(34.0, 706.0)	(35.0, 1235.0)	(36.0, 2503.0)	(37.0, 48135.0)	(38.0, 78527.0)	
ST3Z_1	(18.0, 2.0)	(19.0, 6.0)	(20.0, 15.0)	(21.0, 17.0)	(22.0, 15.0)	(23.0, 20.0)	(24.0, 29.0)	(25.0, 65.0)	(26.0, 86.0)	(27.0, 107.0)	(28.0, 134.0)	(29.0, 138.0)	(30.0, 178.0)	(31.0, 253.0)	(32.0, 316.0)	(33.0, 457.0)	(34.0, 749.0)	(35.0, 1386.0)	(36.0, 4183.0)	(37.0, 48247.0)	(38.0, 97336.0)			
ST3Z_2	(16.0, 2.0)	(17.0, 5.0)	(18.0, 30.0)	(19.0, 114.0)	(20.0, 119.0)	(21.0, 134.0)	(22.0, 107.0)	(23.0, 107.0)	(24.0, 112.0)	(25.0, 92.0)	(26.0, 124.0)	(27.0, 104.0)	(28.0, 167.0)	(29.0, 178.0)	(30.0, 194.0)	(31.0, 247.0)	(32.0, 290.0)	(33.0, 409.0)	(34.0, 677.0)	(35.0, 1082.0)	(36.0, 2653.0)	(37.0, 50827.0)	(38.0, 95965.0)	
ST4D_1	(18.0, 3.0)	(19.0, 7.0)	(20.0, 13.0)	(21.0, 19.0)	(22.0, 14.0)	(23.0, 16.0)	(24.0, 30.0)	(25.0, 65.0)	(26.0, 81.0)	(27.0, 121.0)	(28.0, 119.0)	(29.0, 119.0)	(30.0, 181.0)	(31.0, 221.0)	(32.0, 303.0)	(33.0, 415.0)	(34.0, 667.0)	(35.0, 3204.0)	(36.0, 3046.0)	(37.0, 46957.0)	(38.0, 97029.0)			
ST4D_2	(17.0, 6.0)	(18.0, 35.0)	(19.0, 99.0)	(20.0, 163.0)	(21.0, 131.0)	(22.0, 160.0)	(23.0, 128.0)	(24.0, 105.0)	(25.0, 133.0)	(26.0, 125.0)	(27.0, 128.0)	(28.0, 167.0)	(29.0, 174.0)	(30.0, 206.0)	(31.0, 252.0)	(32.0, 369.0)	(33.0, 512.0)	(34.0, 658.0)	(35.0, 1305.0)	(36.0, 2792.0)	(37.0, 53773.0)	(38.0, 91209.0)		
