Feature ID	Taxon	Confidence	Taxon_Original	Kingdom	Phylum	Class	Order	Family	Genus	Species
f99cd28f84efab0680f5b5f07811d773	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Crepidotaceae; g__Crepidotus; s__Crepidotus_g	0.999998129772517	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Crepidotaceae;g__Crepidotus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus_g
b2769ea727b650b52882aab180cf5d4e	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; g__Sistotremastrum; s__Sistotremastrum_guttuliferum	0.9993563390238925	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Sistotremastrum;s__Sistotremastrum_guttuliferum;sh__SH1293774.10FU	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Sistotremastrum	Sistotremastrum_guttuliferum
c4882dc60b49c95b93e46ef6e32dfc12	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_o; g__Pleosporales_o; s__Pleosporales_o	0.9174227609940808	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp;sh__SH1411340.10FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_o	Pleosporales_o	Pleosporales_o
0191681120840e940a5629f6f9c23e63	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidiaceae_f; s__Ceratobasidiaceae_f	0.9999958332515797	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_f	Ceratobasidiaceae_f
2a03599d48e1a5883a372e8a8261d445	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Paragibellulopsis; s__Paragibellulopsis_chrysanthemi	0.9880460627529671	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Paragibellulopsis;s__Paragibellulopsis_chrysanthemi	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Paragibellulopsis	Paragibellulopsis_chrysanthemi
c3017cee759791c63e9536350bd70e59	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_hacksungii	0.9965230126878759	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Irpex;s__Irpex_hacksungii;sh__SH1080352.10FU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Irpex	Irpex_hacksungii
8424931b6de8bfc1cc5bc36b87754fe9	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Cystobasidium; s__Cystobasidium_slooffiae	0.9924356512895977	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Cystobasidium;s__Cystobasidium_slooffiae;sh__SH1337768.10FU	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_slooffiae
3b4804e27a65e63fcb5e309dd023eb58	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Phlebiopsis; s__Phlebiopsis_g	0.9917204866642256	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phlebiopsis;s__Phlebiopsis_sp;sh__SH1340676.10FU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	Phlebiopsis_g
69d7a7d7c05039ce3b5be70ffacc089f	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Graphostromataceae; g__Biscogniauxia; s__Biscogniauxia_atropunctata	0.9816977968795192	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Graphostromataceae;g__Biscogniauxia;s__Biscogniauxia_atropunctata;sh__SH1376962.10FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Graphostromataceae	Biscogniauxia	Biscogniauxia_atropunctata
ef7cf9848db5544fe03fb7d411336533	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_dubliniensis	0.999999999602224	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_dubliniensis;sh__SH1382655.10FU	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_dubliniensis
