run_id	sample_id	Xaxis	DNA_kit	replicate	matrix_type	taxonomy_method	BLAST	Trimm	Paired	Method	Species2	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Cutaneotrichosporon_debeurmannianum	0.10709226739109343
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_hacksungii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Peniophoraceae_f	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Kazachstania_servazzii	0.050538469001649364
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Debaryomyces_delbrueckii	0.04025419617735519
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_laceratus	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Cladosporium_angustisporum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Saccharomyces_cerevisiae	0.030726690598622295
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Mucor_circinelloides	0.024847191229261666
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Stereaceae_f	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Penicillium_patris-mei	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Bjerkandera_adusta	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Schizophyllum_commune	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Bullera_alba	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Tilletiopsis_washingtonensis	0.017900456000776173
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Candolleomyces_subminutisporus	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Aspergillus_ruber	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Rhizoplaca_novomexicana	0.001581449500339575
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Other	0.06330649073445233
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Ascomycota_p	0.5746677015620452
