DNA_kit	taxonomic_rank	taxon	Trimm	Paired	n_sample_detected	n_asv	n_sequence	total_reads	mean_relative_abundance	max_relative_abundance	median_sequence_length	mean_sequence_length	median_blast_pident	median_blast_qcovus	median_blast_alignment_length	pct_qiime_species_resolved_asv	pct_qiime_genus_resolved_asv	pct_blast_cutoff_pass_asv	pct_blast_ambiguous_asv
DNeasy	Species	Bjerkandera_adusta	ITSxpress	PE	1	1	1	2178	3.583415597235933	3.583415597235933	186	186	NA	NA	NA	100	100	0	NA
DNeasy	Species	Bjerkandera_adusta	ITSxpress	SE	1	1	1	2180	3.5806382734096545	3.5806382734096545	173	173	NA	NA	NA	100	100	0	NA
DNeasy	Species	Bullera_alba	Cutadapt	PE	1	1	1	2718	2.0481519159036963	2.0481519159036963	281	281	99.645	100	282	100	100	100	0
DNeasy	Species	Bullera_alba	Cutadapt	SE	1	1	1	2722	2.0238520104687128	2.0238520104687128	228	228	99.563	100	229	100	100	100	0
DNeasy	Species	Bullera_alba	ITSxpress	PE	1	1	1	2716	4.468575189206976	4.468575189206976	177	177	99.438	100	178	100	100	100	0
DNeasy	Species	Bullera_alba	ITSxpress	SE	1	1	1	2717	4.462657884795427	4.462657884795427	173	173	99.425	100	174	100	100	100	0
DNeasy	Species	Ceratobasidiaceae_f	Cutadapt	PE	1	1	1	1551	1.168757770995818	1.168757770995818	322	322	NA	NA	NA	0	0	0	NA
DNeasy	Species	Ceratobasidiaceae_f	Cutadapt	SE	1	1	1	1556	1.156911729716869	1.156911729716869	225	225	NA	NA	NA	0	0	0	NA
DNeasy	Species	Ceratobasidiaceae_f	ITSxpress	SE	1	1	1	1549	2.544224167665851	2.544224167665851	171	171	NA	NA	NA	0	0	0	NA
DNeasy	Species	Ceriporia_nanlingensis	Cutadapt	PE	1	1	1	1114	0.8394559360988658	0.8394559360988658	304	304	NA	NA	NA	100	100	0	NA
DNeasy	Species	Ceriporia_nanlingensis	Cutadapt	SE	1	1	1	1120	0.8327385201046872	0.8327385201046872	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Species	Ceriporia_nanlingensis	ITSxpress	PE	1	1	1	1114	1.8328397499177362	1.8328397499177362	209	209	NA	NA	NA	100	100	0	NA
DNeasy	Species	Ceriporia_nanlingensis	ITSxpress	SE	1	1	1	1117	1.8346664914672406	1.8346664914672406	173	173	NA	NA	NA	100	100	0	NA
DNeasy	Species	Cladosporium_angustisporum	Cutadapt	SE	1	1	1	403	0.2996371639305258	0.2996371639305258	228	228	99.561	100	228	0	0	100	100
DNeasy	Species	Cladosporium_angustisporum	ITSxpress	PE	1	2	2	7622	6.270154656136887	11.877262257321487	148	148	99.662	100	148	0	50	100	100
DNeasy	Species	Cladosporium_angustisporum	ITSxpress	SE	1	2	2	7636	6.271044462329385	11.878521097843404	148	148	99.662	100	148	0	50	100	100
DNeasy	Species	Cladosporium_colombiae	Cutadapt	PE	1	2	2	7460	2.8107456388229535	5.327606344900343	281	281	99.822	100	281	0	0	100	100
DNeasy	Species	Cladosporium_herbarum	Cutadapt	SE	1	1	1	7265	5.40164763264335	5.40164763264335	228	228	100	100	228	100	100	100	100
DNeasy	Species	Cladosporium_ossifragi	Cutadapt	PE	1	1	1	151	0.11378621755020533	0.11378621755020533	262	262	99.618	100	262	0	0	100	0
DNeasy	Species	Coprinopsis_g	Cutadapt	SE	1	1	1	891	0.6624732334047109	0.6624732334047109	228	228	NA	NA	NA	0	100	0	NA
DNeasy	Species	Coprinopsis_g	ITSxpress	PE	1	1	1	887	1.4593616321158276	1.4593616321158276	211	211	NA	NA	NA	0	100	0	NA
DNeasy	Species	Coprinopsis_g	ITSxpress	SE	1	1	1	887	1.4568927286763136	1.4568927286763136	173	173	NA	NA	NA	0	100	0	NA
DNeasy	Species	Coprinopsis_urticicola	Cutadapt	PE	1	1	1	890	0.6706604875475679	0.6706604875475679	306	306	NA	NA	NA	100	100	0	NA
DNeasy	Species	Dentipellis_fragilis	Cutadapt	SE	1	1	1	1998	1.4855460385438972	1.4855460385438972	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Species	Fungi_k	Cutadapt	PE	1	58	58	18355	0.238472941668648	8.414151689838363	298	294.7068965517241	NA	NA	NA	0	0	0	NA
DNeasy	Species	Fungi_k	Cutadapt	SE	1	77	77	20463	0.1975919334056379	9.082054484891744	301	254.7012987012987	NA	NA	NA	0	0	0	NA
DNeasy	Species	Fungi_k	ITSxpress	PE	1	3	3	2264	1.2416365032357135	3.7133925633432048	241	248.33333333333334	NA	NA	NA	0	0	0	NA
DNeasy	Species	Fungi_k	ITSxpress	SE	1	3	3	2265	1.240083438726738	3.7087528538344037	173	173	NA	NA	NA	0	0	0	NA
DNeasy	Species	Hericiaceae_f	Cutadapt	PE	1	1	1	1988	1.4980596058927698	1.4980596058927698	306	306	NA	NA	NA	0	0	0	NA
DNeasy	Species	Hericiaceae_f	ITSxpress	PE	1	1	1	1984	3.26423165514972	3.26423165514972	211	211	NA	NA	NA	0	0	0	NA
DNeasy	Species	Hericiaceae_f	ITSxpress	SE	1	1	1	1989	3.2669218008311027	3.2669218008311027	173	173	NA	NA	NA	0	0	0	NA
DNeasy	Species	Hydnoporia_yasudae	Cutadapt	PE	1	1	1	1775	1.3375532195471158	1.3375532195471158	301	301	NA	NA	NA	100	100	0	NA
DNeasy	Species	Hymenochaetopsis_yasudae	Cutadapt	SE	1	1	1	1785	1.3271770164168453	1.3271770164168453	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Species	Hymenochaetopsis_yasudae	ITSxpress	PE	1	1	1	1773	2.9170779861796645	2.9170779861796645	206	206	NA	NA	NA	100	100	0	NA
