DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set
QIAamp	PE	Species	Irpex_g	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Irpex_hacksungii	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Irpex_hydnoides	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Irpex_laceratus	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Kazachstania_servazzii	TRUE	TRUE	Shared
QIAamp	PE	Species	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Malassezia_sympodialis	TRUE	TRUE	Shared
QIAamp	PE	Species	Mucor_circinelloides	TRUE	TRUE	Shared
QIAamp	PE	Species	Mucor_g	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Mucor_nidicola	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Neodidymella_thailandicum	TRUE	TRUE	Shared
QIAamp	PE	Species	Ophiognomonia_g	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Ophiognomonia_pseudoischnostyla	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Paragibellulopsis_chrysanthemi	TRUE	TRUE	Shared
QIAamp	PE	Species	Penicillium_brevicompactum	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Penicillium_citrinum	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Penicillium_g	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Penicillium_patris-mei	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Penicillium_sumatraense	TRUE	TRUE	Shared
QIAamp	PE	Species	Peniophoraceae_f	TRUE	TRUE	Shared
QIAamp	PE	Species	Plagiostoma_g	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Polyporales_o	TRUE	TRUE	Shared
QIAamp	PE	Species	Rhizoplaca_novomexicana	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Rhodotorula_mucilaginosa	TRUE	TRUE	Shared
QIAamp	PE	Species	Schizophyllum_commune	TRUE	TRUE	Shared
QIAamp	PE	Species	Sporobolomyces_phaffii	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Sporobolomyces_ruberrimus	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Steccherinum_tenuissimum	TRUE	TRUE	Shared
QIAamp	PE	Species	Stereaceae_f	TRUE	TRUE	Shared
QIAamp	PE	Species	Talaromyces_g	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Talaromyces_purgamentorum	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Trametes_pubescens	TRUE	TRUE	Shared
QIAamp	PE	Species	Trechispora_g	TRUE	TRUE	Shared
QIAamp	PE	Species	Xeromyces_bisporus	TRUE	TRUE	Shared
QIAamp	PE	Species	Xylodon_flaviporus	TRUE	TRUE	Shared
QIAamp	SE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only
QIAamp	SE	Genus	Aspergillus	TRUE	TRUE	Shared
QIAamp	SE	Genus	Aureobasidium	TRUE	TRUE	Shared
QIAamp	SE	Genus	Biscogniauxia	TRUE	TRUE	Shared
QIAamp	SE	Genus	Bjerkandera	TRUE	TRUE	Shared
QIAamp	SE	Genus	Boeremia	TRUE	FALSE	Cutadapt only
QIAamp	SE	Genus	Candida	TRUE	TRUE	Shared
QIAamp	SE	Genus	Candolleomyces	TRUE	TRUE	Shared
QIAamp	SE	Genus	Ceriporia	TRUE	TRUE	Shared
QIAamp	SE	Genus	Cladosporium	TRUE	TRUE	Shared
QIAamp	SE	Genus	Crepidotus	TRUE	TRUE	Shared
QIAamp	SE	Genus	Cystobasidium	TRUE	TRUE	Shared
QIAamp	SE	Genus	Daedaleopsis	TRUE	TRUE	Shared
QIAamp	SE	Genus	Debaryomyces	TRUE	TRUE	Shared
QIAamp	SE	Genus	Epicoccum	FALSE	TRUE	ITSxpress only
QIAamp	SE	Genus	Fungi_k	TRUE	TRUE	Shared
QIAamp	SE	Genus	Fuscoporia	TRUE	TRUE	Shared
QIAamp	SE	Genus	Helotiales_o	TRUE	TRUE	Shared
QIAamp	SE	Genus	Hydnaceae_f	TRUE	TRUE	Shared
QIAamp	SE	Genus	Irpex	TRUE	TRUE	Shared
QIAamp	SE	Genus	Kazachstania	TRUE	TRUE	Shared
QIAamp	SE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only
QIAamp	SE	Genus	Malassezia	TRUE	TRUE	Shared
QIAamp	SE	Genus	Metschnikowia	TRUE	FALSE	Cutadapt only
QIAamp	SE	Genus	Mucor	TRUE	TRUE	Shared
QIAamp	SE	Genus	Neodidymella	TRUE	TRUE	Shared
QIAamp	SE	Genus	Ophiognomonia	TRUE	TRUE	Shared
QIAamp	SE	Genus	Paragibellulopsis	TRUE	TRUE	Shared
QIAamp	SE	Genus	Penicillium	TRUE	TRUE	Shared
QIAamp	SE	Genus	Peniophoraceae_f	TRUE	TRUE	Shared
QIAamp	SE	Genus	Polyporales_o	TRUE	TRUE	Shared
QIAamp	SE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only
QIAamp	SE	Genus	Rhodotorula	TRUE	TRUE	Shared
QIAamp	SE	Genus	Schizophyllum	TRUE	TRUE	Shared
QIAamp	SE	Genus	Sporobolomyces	TRUE	TRUE	Shared
QIAamp	SE	Genus	Steccherinum	TRUE	TRUE	Shared
QIAamp	SE	Genus	Stereaceae_f	TRUE	TRUE	Shared
QIAamp	SE	Genus	Talaromyces	TRUE	TRUE	Shared
QIAamp	SE	Genus	Trametes	TRUE	TRUE	Shared
QIAamp	SE	Genus	Trechispora	TRUE	TRUE	Shared
QIAamp	SE	Genus	Xeromyces	TRUE	TRUE	Shared
QIAamp	SE	Genus	Xylodon	TRUE	TRUE	Shared
QIAamp	SE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only
