ASV	raw_hit_count	strict_cutoff_pass_hit_count	retained_top_n_count	selection_status
6d4528949a1b4da8c05713abbbd208fd	158	158	5	candidate_available
6d536c0697e3374ffb3ec10414641759	277	277	5	candidate_available
6d5d5e8e8195643d12ad9f89722821ba	151	151	5	candidate_available
6e0e8ddf7043ec51d326dff163480dc7	142	142	5	candidate_available
6e82328c42ba7c3e6116b76beafea40d	180	180	5	candidate_available
6ea70f7a936fb3c83b92541a31d0699e	211	211	5	candidate_available
6eee9ddd3be2fa1716629021008b521e	199	199	5	candidate_available
6f44fdcac884f9349154a511f9ec5467	145	145	5	candidate_available
6ff253a77431f16f031f09943020be98	170	170	5	candidate_available
6ff9a3e427e998643e8d98a2a3d9157b	227	227	5	candidate_available
7022c374ae44a6ea810bc3bc7018547c	249	249	5	candidate_available
705dc39cc2275d1e72dc907ff947628d	132	132	5	candidate_available
708ed5611c17651ff5806fa18df950fa	232	232	5	candidate_available
70c24fbf5a1015511f7eeaa619943c09	232	232	5	candidate_available
70d60c1f3f6ba9ae04d78ef6f824c9b8	106	106	5	candidate_available
719c06db40daf054bc4b27a72600de75	177	177	5	candidate_available
722fb57e17229696cb75e47ad882962f	118	118	5	candidate_available
7243d6f6c59327bcf48abb33a65296e7	233	233	5	candidate_available
725402e2a81677678ca9799ecc96fe7f	265	265	5	candidate_available
72dd04cf016a807b3f0ed8e3b52565b4	169	169	5	candidate_available
7332820fcc90af10ffa68c99d5c2d874	75	75	5	candidate_available
734b3bd502cf4e15ab36e06823ea19d1	212	212	5	candidate_available
75107df2ba22157d21ca3da014ea641a	229	229	5	candidate_available
754268c86474386269e578a4eb485b8a	163	163	5	candidate_available
75460142a37c38afe494aff9cc6ce051	161	161	5	candidate_available
79b8b59b62b6bcd94537b80830d7f47d	197	197	5	candidate_available
7afb59c70eff2cec5a071dd7c3ca79e0	240	240	5	candidate_available
7b3895e4ce4378f120ee488c628004dc	50	50	5	candidate_available
7c26a2bc5ea2beb04c6da14fd04a67c3	133	133	5	candidate_available
7eb255283c6c52bd61ca80e88b608ef1	252	252	5	candidate_available
7ec116ba801fe0dd6ad02c5516ba27b6	206	206	5	candidate_available
7ec84e73c19db6fd14a892be88d602d6	190	190	5	candidate_available
7f21c32326f029d0dc23b6548c9be2eb	140	140	5	candidate_available
80031c9738d7445f1f857a5681c053a2	229	229	5	candidate_available
80d69bc60273cafc5a73ae55b234f7c9	181	181	5	candidate_available
80e1bf7ccd84a6512dc5cc240266fbbc	207	207	5	candidate_available
810614b36a07abd1a925d29282f91909	199	199	5	candidate_available
816d201ed9172ccf13a16767c31c90c9	159	159	5	candidate_available
830623f85c074e3be00b07789c2ab817	159	159	5	candidate_available
84b5c1c947a868e466363aca6892af10	154	154	5	candidate_available
852a848e6c1fce8ec025e60eb1d8ad45	186	186	5	candidate_available
8578ebd1501eab5abc643bb43fb0b7e2	129	129	5	candidate_available
85d8f5af58655f5e9a0875198e40a4cf	169	169	5	candidate_available
861e3c2d2e021bc75d515a994d56517e	119	119	5	candidate_available
870b996b7364a3020227bc4b918ba54f	205	205	5	candidate_available
88be853cbd81bb124d987055745dd220	108	108	5	candidate_available
88d9e26258cbe6803242c238c2455096	215	215	5	candidate_available
891d74d20e746b1fb0158d4e1d1738cf	206	206	5	candidate_available
89280dfd2d6284d8379415b8579079b4	272	272	5	candidate_available
8965aa6d2863f5cb3cd73c6b457b8c10	192	192	5	candidate_available
89b2c9df3eca133597ce82b96537e5cb	171	171	5	candidate_available
8a52693c2a3066f0951f6e0ab114cf44	181	181	5	candidate_available
8abbc3706d83fc336ad674b159566a26	209	209	5	candidate_available
8c82b71188e096be2feb08fd7d64d6a6	184	184	5	candidate_available
8c9faa9e15875e19c83d12df14a5a3ff	236	236	5	candidate_available
8d231a317ba8cf704dcdc9a1d5d1de99	129	129	5	candidate_available
8d3e05b052f65c88c539505f87882851	226	226	5	candidate_available
8eedab30efdc40b9d88bdabe03635ba4	174	174	5	candidate_available
8f5b156b2473d6552ed30cec420b2b02	111	111	5	candidate_available
8fa01d73021156ed6e2382e0d80dec3a	169	169	5	candidate_available
90aa0385993cdfbec9b8925a1163afb6	249	249	5	candidate_available
90c790cd51b041fe427de8b5a8538108	209	209	5	candidate_available
92ebee3e1d5e106289f51862c1333f71	114	114	5	candidate_available
934f533a78b5de1479b59f1a682d064c	147	147	5	candidate_available
9382063e0b2044656cf90225daa688cc	173	173	5	candidate_available
93ca18c8326c68730665b16f4afc4c27	140	140	5	candidate_available
94c0d2deeddd5f1e709b971ddca5b96f	140	140	5	candidate_available
94dddfcdc76df2a1fd9cc9fef269a37a	113	113	5	candidate_available
955eb7ae0fe2a3213438ef5bec2de66e	235	235	5	candidate_available
957a4979ef8eb030190ed5fa5f7c5e47	133	133	5	candidate_available
96089fcd4be16af3744dff9823059e84	114	114	5	candidate_available
96800d25db2a29d576ee27c9b1735e9f	166	166	5	candidate_available
96bf17ba3b4f9d5e0a21bebcbe3e6347	204	204	5	candidate_available
9787c7e873499f9e560ca6b6422ce0e8	272	272	5	candidate_available
98889d06c709abb06729cab49128dd46	103	103	5	candidate_available
9899e5944be6d8cfc566fec1d4cdf106	178	178	5	candidate_available
99b9ce04c0575bc120dc13c27c6fbd61	146	146	5	candidate_available
9a507bbaa2506b564c6ecc67ac11ca51	160	160	5	candidate_available
9a8e760195cd584b7811142a27f29b00	80	80	5	candidate_available
9ab532e02e09a25a4e7fc6d767fa9aa1	172	172	5	candidate_available
9b515710aedd7956e1b33b0f43a5da4d	178	178	5	candidate_available
9b61ba42a163f182fb0517d16e21353b	173	173	5	candidate_available
9c44645f431c91d96352598dc69d9dd4	136	136	5	candidate_available
9c6a6a6806ecf36a83eea035327a4777	165	165	5	candidate_available
9c70c6df883ccc8bc958aa9b237f3dcd	145	145	5	candidate_available
9cb444debe2d75a0faae9e99b58b96cd	282	282	5	candidate_available
9d85d8067d02e30a806463de2845ccdd	166	166	5	candidate_available
9da0998852867aa3521b3fce0470f933	156	156	5	candidate_available
9dca25bcfb9f6faab9371fc6704b590a	154	154	5	candidate_available
a0a05fb837d128e0f13ab3295773109e	83	83	5	candidate_available
a0e94e321165b221002d4815536f2eea	131	131	5	candidate_available
a1ddc0359a09921a4282096b4bd79a1c	221	221	5	candidate_available
a264df5dbe2ffe5b564231684a02d56d	146	146	5	candidate_available
a35b5bb74ae271253c48bf3dc7eaf278	146	146	5	candidate_available
a4d6aeda4e809ef4f25111f66e15a8ca	191	191	5	candidate_available
a536855c690075a22d2f70db5665151c	87	87	5	candidate_available
a554710d9573066da22c4a4f87f01d3a	108	108	5	candidate_available
a5af3fc8194eb0b464eafe3cdb571633	162	162	5	candidate_available
a5fb812775e585a48c8358419981538a	155	155	5	candidate_available
a7c166e09c38af96a5fccc7a43c6065d	175	175	5	candidate_available
a8006bd4661f54caf04a33bfd953834d	161	161	5	candidate_available
a810f4bd2f53d48fc7f37e94bf363fc4	179	179	5	candidate_available
a841082e3b16121e246a0a2ca1534c20	138	138	5	candidate_available
a84c1b186e95fc28c77e0c58812ca7e5	165	165	5	candidate_available
a8667283551f577f6feb70486539d8d1	218	218	5	candidate_available
a920043b0a1f468a1d704fb1d44f1538	195	195	5	candidate_available
a98e7da7571b7fd9f95c9e1ddfda6826	123	123	5	candidate_available
a9a8701bb82e83502dac035e738a9a66	197	197	5	candidate_available
aa1b583b09e5b061d90381b8d2a27bba	111	111	5	candidate_available
aacdd1d59dacc3d196e6ad9d3bf8f7c6	144	144	5	candidate_available
ab224c39466ee6d32bd0cb957ff3bf07	202	202	5	candidate_available
ab4ff24c6768499d28626cb4e300616a	146	146	5	candidate_available
ab7c9f9f3b22be975b8ce431693e3ece	154	154	5	candidate_available
ab861263ab8cf4788c4354708ba995e6	97	97	5	candidate_available
ad19965cbabe7075d634d4d224ccbdd8	154	154	5	candidate_available
adda5ef25aa444e1e8e3dbf448184191	125	125	5	candidate_available
aec4b0133013dab9debc4e68fe3659ff	110	110	5	candidate_available
af01a0d35b83bc29b5aed222ed1a3fa5	194	194	5	candidate_available
aff14a00453aec3e51788b5e8539956b	182	182	5	candidate_available
b0ae62f3189358ff6ca6e936a7f09b21	100	100	5	candidate_available
b1b361c336fa35c9c85cc4d6e884e225	137	137	5	candidate_available
b1b896a1775460c058fc891882a5bad8	223	223	5	candidate_available
b26396e1664e227b62d104f34fd92b40	126	126	5	candidate_available
b2d71c8a1835967453bd96a5aecac0d2	238	238	5	candidate_available
b2d80c0c3ae31c0fa0081d4ec7136a6b	107	107	5	candidate_available
b3243e1a3accfd9f8cc3834cc9ca2539	181	181	5	candidate_available
b356543b7a64ebdabe2aacf2a2b4e4af	169	169	5	candidate_available
b407c9e0ae8d92182c419ee74b4da114	64	64	5	candidate_available
b52a1a66de4c1b1ac1df6e2151141f35	166	166	5	candidate_available
b67b81c102e2f5fa366b3d4d0869f235	225	225	5	candidate_available
b6d153f4aa1b7adc86d16ea7f46db14a	206	206	5	candidate_available
b7961057390a6c976529ef24c7f377f3	83	83	5	candidate_available
b7b0fcf787b97ca7ed398fae36e66b47	188	188	5	candidate_available
b7bfeefde3acfbb774c0c51ff1d9ab5a	139	139	5	candidate_available
b818ea92d26b8c0d7b99eb77906b9e01	192	192	5	candidate_available
b96feb915f752cb0cac454b227ea516d	55	55	5	candidate_available
ba931772211836a80a6f9001b2507e01	149	149	5	candidate_available
bab512ce52e946dd049bf21f3f71d7f8	137	137	5	candidate_available
bbc5e3ab547288791a3a60ebe42ab10c	68	68	5	candidate_available
bcfb019abaec65a6eeefd25b4a00e7f3	70	70	5	candidate_available
bd59c047dfd8722ab82188dd160d6676	214	214	5	candidate_available
bed7b9d2faf1441d064e85f99538ff52	50	50	5	candidate_available
bf60bfa70e65550fe55e453011d1dc47	232	232	5	candidate_available
bfa6afd86523df0a5ddd44a01da73ddb	192	192	5	candidate_available
bfd09568df5b64763bb30e17f8d02f3c	233	233	5	candidate_available
c0b1830e2feafc77fb275d5a16f99809	212	212	5	candidate_available
c12e357adf22e7dfbf24ddb92f3e037b	151	151	5	candidate_available
c159022850229d28f9c8462163c7d352	145	145	5	candidate_available
c2084f73dc59a63c76060a2d438c90dd	238	238	5	candidate_available
c208ad125626e378ec600060758c2b74	79	79	5	candidate_available
c2203519577ce726b6acdcbc0b212be6	140	140	5	candidate_available
c2e2bbe0f275c3ae873e4c8011264301	97	97	5	candidate_available
c37e09b9fad0c4eba3557a245868649d	186	186	5	candidate_available
c3fa753391ecc001d88bbc94b9693dd6	187	187	5	candidate_available
c4de8920d09cfcb35cb11ca9ed00200f	217	217	5	candidate_available
c4f98e0590c3c3c748b905428148ad3a	219	219	5	candidate_available
c694e89dc307e53cba3c2902c5b6c85d	192	192	5	candidate_available
c736e249da125d2afbdc5153e798f4ff	195	195	5	candidate_available
c7ddb05d44bb0ae81e055fa6ff76c7ad	128	128	5	candidate_available
c7e72cd68f619fbd50765269dd08f1d2	166	166	5	candidate_available
c9724494bb18bcad90882e40457e048a	162	162	5	candidate_available
c97fecfe6785166d168fafdd986ee02f	203	203	5	candidate_available
c9a08cedfce3e1d4e0167bcd82f1eed8	168	168	5	candidate_available
c9cf851cc8b151e77a0a03db7e8e5217	159	159	5	candidate_available
c9e58beca8becb5fcc7e538ede488f9e	43	43	5	candidate_available
c9e7884f1c2075801461d85650da4f8d	211	211	5	candidate_available
cbf18da6c0f768134b965e6c94579fb5	198	198	5	candidate_available
cc56f99c558815f04df56c615a4708ea	151	151	5	candidate_available
cc572ce0686826cfa6fa0474048bea08	131	131	5	candidate_available
cc654ac138d65ef720d9e6927b4275cf	181	181	5	candidate_available
cca066ec93ac3b58cb278c7a3039a50d	109	109	5	candidate_available
ccd031f4267764c6dbee39b62a142b1b	108	108	5	candidate_available
ccd3ca0ed71b6faaaccf15455d97d962	156	156	5	candidate_available
ccd9b87685ec477410a892a19c6f56e2	167	167	5	candidate_available
ccf3654d7cb955da43f548b2d4a6463a	131	131	5	candidate_available
cd2d016625f7659f938c0f3d984dcfed	167	167	5	candidate_available
cdd4c8be3d7c15248e9dee490ecf867a	204	204	5	candidate_available
ce2917ca97a6ed458f6df0078d2e50b8	156	156	5	candidate_available
cfa201d304dab9c66d991e37660ea7cd	135	135	5	candidate_available
d00069f184bac3614964ebeeb9e0c463	137	137	5	candidate_available
d06e13114c26fb411371fc6585f90fcc	157	157	5	candidate_available
d0b4254cf72c2997dd42ad82af681f04	152	152	5	candidate_available
d0ba115d2648c5cea27a7c508f335db2	221	221	5	candidate_available
d17228a9992e50708dfe3ab981c02b40	208	208	5	candidate_available
d1e17b274ba99de355a3817e54d6236e	116	116	5	candidate_available
d25e7da93e6b99dc8a029aa614772d33	187	187	5	candidate_available
d30bd92498a8cd6f581788d3c914949d	173	173	5	candidate_available
d64a586df2febe320546417d9621d507	202	202	5	candidate_available
d67ec88ac6b0a4537d390059cf1dac96	129	129	5	candidate_available
d6cc98cce9c2687e7e03206bda7d9f64	110	110	5	candidate_available
d7fc1469409e75228a73f2e6c5a2a3c7	194	194	5	candidate_available
d88567ebe660f0a6651f4846b34d71e2	144	144	5	candidate_available
daf9001a3300ede6912762d783d25c18	128	128	5	candidate_available
dbd506df66b81dcdb231c7b21f39140b	130	130	5	candidate_available
dc4c92957db247364b6bca5eb5bd2b66	222	222	5	candidate_available
dedfb065825f7af0f11dc63cd4a5b596	114	114	5	candidate_available
dfeb122bae0ce9f357229be0b4e90619	100	100	5	candidate_available
e05fc0449f67499fe6ddec89784dbb5d	173	173	5	candidate_available
e09cee250683d1d9c0efe6766aea6426	208	208	5	candidate_available
e2708925a7f42bb9e1f62f04f1ee3e26	243	243	5	candidate_available
e2b964f9c965bdcdf26553e425dbd793	185	185	5	candidate_available
e2d6b080c35429edc1bf79320290191c	259	259	5	candidate_available
e43a7fd010f2b357ee8e0655e81440be	205	205	5	candidate_available
e56ef4932dbe840d72fbf03dd085350e	130	130	5	candidate_available
e7d607347edf89506f50e84573edc326	180	180	5	candidate_available
e82b717c2dd3e0adf38d29ca295ddd59	193	193	5	candidate_available
e9158b4ef80d8a3ac9e727f88e44cb72	114	114	5	candidate_available
e98dc9729afccefe7d09d64fb570d0f7	236	236	5	candidate_available
e99579856827fee5f22ab107b3a13376	181	181	5	candidate_available
ea7f5040ec9eea16e64fd85b2b7d0572	220	220	5	candidate_available
ea97745628171c1b7140643a9f70461e	177	177	5	candidate_available
eb0a24cde4475b6ba4de24cc713e47bd	144	144	5	candidate_available
eb419687cb6c69004db4a72c323e21f8	229	229	5	candidate_available
